Image,Description
414.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
791.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
691.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
644.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
779.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
748.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
154.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
634.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
369.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
7.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
501.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
596.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
595.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
33.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
380.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
756.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
351.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
667.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size medium and shape rough. "
398.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
357.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
567.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
745.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
155.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
420.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
707.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
237.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size medium and shape round. "
424.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
57.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
191.jpg,"In this image, 2 wounds are detected. The 1st wound is located in bottom, with size small and shape flattened. The 2nd wound is located in right, with size small and shape rough. "
434.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
686.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
47.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
267.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
573.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
144.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
487.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
89.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
680.jpg,"In this image, 2 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. The 2nd wound is located in right, with size small and shape round. "
415.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
556.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size medium and shape round. "
455.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape rough. "
320.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
157.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
674.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size medium and shape round. "
79.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
784.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
161.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
492.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
12.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
139.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
664.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
75.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
362.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
588.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
646.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
170.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
259.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
564.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
442.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
196.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
685.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
714.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
44.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
635.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
750.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
491.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
622.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
174.jpg,"In this image, 2 wounds are detected. The 1st wound is located in bottom, with size small and shape round. The 2nd wound is located in center, with size small and shape round. "
63.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
500.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
302.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
293.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
684.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
289.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
34.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
479.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
216.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
769.jpg,"In this image, 2 wounds are detected. The 1st wound is located in center, with size small and shape round. The 2nd wound is located in right, with size small and shape round. "
408.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
265.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top-middle, with size small and shape round. "
133.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
683.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
449.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
422.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
210.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
292.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
690.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
107.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
559.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
348.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
219.jpg,"In this image, 10 wounds are detected. The 1st wound is located in bottom-middle, with size small and shape round. The 2nd wound is located in right, with size small and shape round. The 3rd wound is located in center, with size small and shape round. The 4th wound is located in center-right, with size small and shape round. The 5th wound is located in left, with size small and shape round. The 6th wound is located in right, with size small and shape round. The 7th wound is located in top-middle, with size small and shape round. The 8th wound is located in top-right, with size small and shape round. The 9th wound is located in top-left, with size small and shape round. The 10th wound is located in top-right, with size small and shape round. "
443.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
747.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
201.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
752.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
438.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
705.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
121.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
356.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
402.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
552.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
473.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
29.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
527.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape rough. "
122.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
172.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
381.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
321.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
136.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
706.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
9.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
419.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
792.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
71.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
243.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
723.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
282.jpg,"In this image, 2 wounds are detected. The 1st wound is located in bottom-middle, with size small and shape round. The 2nd wound is located in left, with size small and shape round. "
208.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
318.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
175.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
112.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
430.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
463.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
95.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
118.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
482.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
309.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size medium and shape flattened. "
54.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
505.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
128.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
781.jpg,"In this image, 2 wounds are detected. The 1st wound is located in bottom-right, with size small and shape rough. The 2nd wound is located in center, with size small and shape round. "
396.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
106.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
316.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
197.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
15.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape rough. "
677.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
777.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
130.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
716.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size medium and shape round. "
40.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
358.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
114.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
192.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
371.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
519.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
76.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
49.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
88.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
672.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
100.jpg,"In this image, 2 wounds are detected. The 1st wound is located in right, with size small and shape round. The 2nd wound is located in top, with size small and shape round. "
703.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
722.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
275.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
469.jpg,"In this image, 2 wounds are detected. The 1st wound is located in center, with size small and shape round. The 2nd wound is located in right, with size small and shape round. "
655.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
156.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
574.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
665.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
445.jpg,"In this image, 2 wounds are detected. The 1st wound is located in bottom, with size small and shape flattened. The 2nd wound is located in left, with size small and shape round. "
13.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
290.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
575.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
270.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
310.jpg,"In this image, 2 wounds are detected. The 1st wound is located in bottom-right, with size small and shape rough. The 2nd wound is located in right, with size small and shape round. "
546.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size medium and shape round. "
727.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
105.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
217.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
166.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
173.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size medium and shape round. "
653.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
571.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
480.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
111.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size medium and shape rough. "
503.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
735.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
334.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
489.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
240.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
384.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
387.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
260.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
143.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
737.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
92.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
521.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
799.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
555.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
774.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
25.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
32.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
450.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
335.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
561.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
544.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
239.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
372.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
86.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
611.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
93.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
695.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
499.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size medium and shape round. "
194.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
406.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
117.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
447.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape flattened. "
193.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
758.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size medium and shape rough. "
228.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
319.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
135.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
19.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
225.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
522.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
568.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size medium and shape rough. "
113.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
539.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size medium and shape rough. "
425.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
518.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
775.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
412.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
146.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
363.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
576.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
209.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
789.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
394.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
475.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
61.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
583.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
517.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
367.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
488.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
545.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
418.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size medium and shape round. "
198.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
566.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
48.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
376.jpg,"In this image, 3 wounds are detected. The 1st wound is located in right, with size small and shape round. The 2nd wound is located in left, with size small and shape round. The 3rd wound is located in top-left, with size small and shape round. "
658.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size medium and shape rough. "
73.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
242.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
540.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
710.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
590.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
67.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
647.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
669.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
417.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
520.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
734.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
643.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
457.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
35.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
579.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
785.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
285.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
248.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
403.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
481.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
352.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
202.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
81.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
37.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
263.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
507.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
764.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
697.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
